name,release_date,required_age,genres,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,average_completion_time,developers
Bosch's Damnation,2015-07-21,0,Adventure;Point & Click,6,2,0.00,0.00,0-20000,8.99,2.50,MDNA Games
Sentinels of the Multiverse,2014-12-22,0,Card Game;Board Game;Superhero,644,103,3.10,3.10,100000-200000,6.99,3.50,Handelabra Games
Velocity 2X,2015-08-19,0,Action;Shoot 'Em Up;Female Protagonist,55,31,5.77,5.77,50000-100000,14.99,6.50,FuturLab
Guild Commander,2015-01-23,0,Simulation;Strategy;Indie,37,39,0.00,0.00,0-20000,3.99,2.50,GTGD
Ostrich Island,2015-01-08,0,Adventure;Casual;Indie,197,34,4.77,4.77,20000-50000,3.99,5.00,MeDungeon
Paint the Town Red,2015-10-13,0,Early Access;Action;Gore,4752,489,9.23,5.83,200000-500000,11.39,11.00,South East Games
Finding Paradise,2017-12-14,0,Story Rich;Great Soundtrack;Pixel Graphics,6578,123,2.77,2.77,200000-500000,6.99,5.00,Freebird Games
Final Dusk,2014-12-12,0,Anime;Indie;Casual,239,78,6.43,8.58,100000-200000,1.99,12.50,Light Echo
Dream Tale,2014-12-16,0,Indie;Casual;Platformer,24,4,0.00,0.00,0-20000,3.99,3.00,Green Lava Studios
Zombie Vikings,2015-12-07,0,Action;Adventure;Local Co-Op,182,44,0.00,0.00,20000-50000,8.99,7.00,Zoink Games
Four Sided Fantasy,2016-08-30,0,Indie;Puzzle-Platformer;Platformer,184,41,0.00,0.00,0-20000,6.99,2.00,Ludo Land
Bermuda,2015-03-17,0,Indie;Adventure;Visual Novel,116,97,4.72,4.88,50000-100000,2.09,1.50,InvertMouse
Soft Body,2016-05-17,0,Action;Puzzle;Indie,31,2,0.00,0.00,0-20000,6.99,2.00,Zeke Virant
Default Dan,2015-03-18,0,Casual;Indie;Action,39,2,0.00,0.00,0-20000,4.79,1.50,Kikiwik Games
The Sea Will Claim Everything,2016-03-24,0,Adventure;Indie;Point & Click,144,3,0.00,0.00,0-20000,6.99,6.00,Jonas Kyratzes
Decisive Campaigns: The Blitzkrieg from Warsaw to Paris,2015-01-22,0,Strategy;Simulation;World War II,46,6,0.00,0.00,0-20000,29.99,25.00,VR Designs
Avernum 2: Crystal Souls,2015-01-14,0,RPG;Strategy;Indie,130,21,0.00,0.00,20000-50000,14.99,77.00,Spiderweb Software
Dysfunctional Systems: Orientation,2017-07-24,0,Indie;Casual;Visual Novel,41,9,0.00,0.00,0-20000,3.99,2.00,Dischan Media
ClusterPuck 99,2015-01-23,0,Sports;Indie;Local Multiplayer,78,22,0.00,0.00,0-20000,7.19,1.50,PHL Collective
Vagrant Hearts,2015-02-27,0,RPG;Indie;Adventure,76,24,0.00,0.00,0-20000,6.99,14.50,Warfare Studios
Anoxemia,2015-01-16,0,Indie;Adventure;Casual,242,128,4.57,4.75,100000-200000,2.79,6.50,
Khaba,2015-01-12,0,Casual;Adventure;Puzzle,24,2,0.00,0.00,0-20000,2.79,4.50,Hello There
Marble Duel,2015-11-12,0,Casual;Indie;Puzzle,157,79,3.33,3.33,50000-100000,3.99,14.50,HeroCraft Krasnodar
Warden: Melody of the Undergrowth,2016-04-08,0,Action;Adventure;RPG,48,10,0.00,0.00,0-20000,15.49,8.00,Cardboard Keep
Pixel Heroes: Byte & Magic,2015-02-06,0,RPG;Indie;Adventure,294,78,17.12,17.12,50000-100000,6.99,25.50,The Bitfather
